"Recalls, Market Withdrawals, & Safety Alerts | FDA",,,,,,
02/06/2018,Centurion,Ninjacof and Ninjacof A,"Drugs, Food & Beverages, Generic Drugs",Potential contamination with Burkholderia cepacia,Centurion Labs,Terminated
02/06/2018,"International Laboratories, LLC",Pravastatin Sodium Tablets,"Drugs, Generic Drugs",Labeled as Pravastatin Sodium Tablets USP 40 mg but contained Bupropion Hydrochloride XL 300 mg tablets,"International Laboratories, LLC",Terminated
02/09/2018,Bella Pharma,All lots of unexpired sterile drug products,"Drugs, Generic Drugs",Lack of Sterility,"Bella Pharmaceuticals, Inc.",Terminated
02/06/2018,"HYDROmorphone, Levophed","Hydromorphone HCl, Levophed",Drugs,Due to Lack of Sterility Assurance,"Hospira, Inc.",Terminated
02/06/2018,PharMEDium,Oxytocin,"Drugs, Generic Drugs",Sub-Potency,"PharMEDium Services, LLC",Terminated
02/08/2018,Genentech,Activase® (alteplase) 100mg vials,Drugs,Due to Lack of Sterility Assurance,Genentech,Terminated
10/05/2017,Baxter,"INTRALIPID 20% IV Fat Emulsion, 100 mL","Drugs, Generic Drugs",Product exposed to subfreezing temperatures,Baxter International Inc.,Terminated
10/20/2017,SCA Pharmaceuticals LLC,Injectable drugs,Drugs,Lack of Sterility Assurance,SCA Pharmaceuticals LLC,Terminated
10/19/2017,A1 Slim,Dietary Supplement A1 Slim,"Drugs, Generic Drugs","Unapproved new drug; tainted with sibutramine, phenolphthalein and N-Desmethyl sibutramine","Kiriko, LLC",Terminated
01/16/2018,Nexterone,Amiodarone HCl,"Drugs, Generic Drugs",Presence of Particulate Matter,Baxter International Inc,Terminated
12/29/2017,Greenstone LLC,"diphenoxylate hydrochloride and atropine sulfate tablets, USP",Drugs,Due to Possible Sub Potent and Super Potent Tablets,"Greenstone LLC, a wholly owned subsidiary of Pfizer Inc.",Terminated
12/29/2017,Fresenius Kabi USA,"Midazolam Injection, USP prefilled syringe",Drugs,Mislabeled,Fresenius Kabi USA,Terminated
12/29/2017,Ridge Properties DBA Pain Relief Naturally,Pain and itch relief products,"Drugs, Over-the-Counter Drugs",Manufacturing Concerns,Ridge Properties DBA Pain Relief Naturally,Terminated
12/29/2017,Sun Pharma,"Riomet® (Metformin Hydrochloride Oral Solution), 500 mg/5mL","Drugs, Generic Drugs",Microbial Contamination (Scopulariopsis brevicaulis),Sun Pharmaceutical Industries Ltd,Terminated
12/29/2017,AuroMedics Pharma LLC,Pantoprazole Sodium for Injection 40 mg per vial,"Drugs, Generic Drugs",Contains glass particles,AuroMedics Pharma LLC,Terminated
12/29/2017,Pharmacist Choice,Alcohol Prep Pads,Drugs,Due to Lack of Sterility Assurance,Simple Diagnostics,Terminated
12/29/2017,AuroMedics,Linezolid Injection,"Drugs, Generic Drugs",White particulate matter that has been identified as mold,AuroMedics Pharma,Terminated
12/29/2017,Marmex Corp,Male Enhancement,"Drugs, Generic Drugs",Unapproved new drug,Marmex Corp,Terminated
01/11/2018,"PharMEDium Services, LLC",Compounded injectables,"Drugs, Generic Drugs",Lack of Sterility,"PharMEDium Services, LLC",Terminated
01/10/2018,AuroMedics Pharma LLC,Ampicillin and Sulbactam for Injection USP,"Drugs, Generic Drugs",Presence of Glass Particles in Vial,AuroMedics Pharma LLC,Terminated
01/25/2018,AuroMedics,Levofloxacin in 5% Dextrose Injection 250mg/50mL,Drugs,Due to the Presence of Particulate Matter,AuroMedics Pharma LLC,Terminated
01/11/2018,PharMEDium Services LLC,Various compounded drug products intended to be sterile,"Drugs, Generic Drugs",Lack of Sterility,PharMEDium Services LLC,Terminated
01/16/2018,Nexterone,Nexterone 150mg/100ml injection,Drugs,Due to the Presence of Particulate Matter,Baxter International Inc.,Terminated
01/10/2018,"International Laboratories, LLC","Clopidogrel Tablets USP, 75 mg",Drugs,Due to Mislabeling,"International Laboratories, LLC",Terminated
01/24/2018,Basic Drugs,Senna Laxative,Drugs,Due to Mislabeling,"Magno-Humphries Laboratories, Inc.",Terminated
06/02/2018,Gericare,Sterile Eye Irrigation Solution,Drugs,Potential microbial contamination which compromises sterility,Kareway Products Inc.,Terminated
01/29/2018,Limbrel,"Limbrel, Limbrel 250, Limbrel 500",Drugs,Due to adverse event reports of elevated liver function tests or acute hypersensitivity pneumonitis,"Primus Pharmaceuticals, Inc.",Terminated
02/15/2018,AVpak,"Acyclovir Tablet, USP, 400mg, 50ct Unit Dose",Drugs,Due to Product Mix-up,Apace Packaging LLC,Terminated
02/23/2018,"Hospira, Novaplus","Labetalol Hydrochloride Injection, USP",Drugs,Due to Potential Of Cracked Glass At The Rim Surface Of The Vials,"Hospira, Inc.",Terminated
04/13/2020,Sagent,"Methylprednisolone Sodium Succinate for Injection, USP 40mg, 125mg, and 1g",Drugs,Due to High Out of Specification Impurity Results,Sagent Pharmaceuticals,Terminated
04/09/2020,Bayer,Alka-Seltzer Plus,Drugs,Mislabeling-The ingredients on the front sticker may not match the actual product in the carton,Bayer,Terminated
04/13/2020,"Hospira, Inc.","Hydromorphone HCL Injection, USP",Drugs,Due to The Potential for Empty or Cracked Glass Vials,"Hospira, Inc.",Terminated
04/07/2020,PASTA DE LASSAR ANDROMACO,Pasta De Lassar Andromaco Skin Protectant,Drugs,"Due to Potential Contamination of high levels of yeast, mold, and bacteria","MarcasUSA, LLC",Terminated
04/07/2020,PASTA DE LASSAR ANDROMACO,Pasta De Lassar Andromaco Skin Protectant,Drugs,"Due to Potential Contamination of high levels of yeast, mold, and bacteria","MarcasUSA, LLC",Terminated
04/07/2020,AMA Wholesale Inc.,Rhino 69 Extreme 50000 capsules,"Dietary Supplements, Drugs",Undeclared tadalafil,AMA Wholesale Inc.,Terminated
03/19/2020,"CVS, Rhinall, Humist, more",Nasal Products and Baby Oral Gels,"Drugs, Over-the-Counter Drugs",Microbial Contamination,Product Quest Manufacturing LLC,Terminated
03/31/2021,"Thumbs Up 7, Shogun, Krazy Night",Dietary Supplement for male sexual enhancement,Drugs,"Undeclared Sildenafil, Tadalafil, Vardenafil",Ummzy LLC,Terminated
