"Medicare Part B Brand, Generic and Manufacturer Information",,,,
,,,,
Medicare Billing Code (HCPCS Code),Drug Description,Brand Name,Generic Name,Manufacturer
J0490,"Injection, belimumab, 10 mg",Benlysta,Belimumab,Glaxosmithkline
J0500,"Injection, dicyclomine hcl, up to 20 mg",Bentyl,Dicyclomine HCL,Aptalis/Allerga
J0515,"Injection, benztropine mesylate, per 1 mg",Benztropine Mesylate,Benztropine Mesylate,APP/Fresenius K
J0515,"Injection, benztropine mesylate, per 1 mg",Benztropine Mesylate,Benztropine Mesylate,Akorn Inc.
J0515,"Injection, benztropine mesylate, per 1 mg",Benztropine Mesylate,Benztropine Mesylate,"West-Ward, Inc."
J0515,"Injection, benztropine mesylate, per 1 mg",Benztropine Mesylate,Benztropine Mesylate,Zydus Pharmeu
J0515,"Injection, benztropine mesylate, per 1 mg",Cogentin,Benztropine Mesylate,Oak Pharmeuti
J0558,"Injection, penicillin g benzathine and penicillin g procaine, 100,000 units",Bicillin C-R,Pen G Benz/Pen G Procaine,A-S Medication
J0558,"Injection, penicillin g benzathine and penicillin g procaine, 100,000 units",Bicillin C-R,Pen G Benz/Pen G Procaine,Pfizer US Pharm
J0561,"Injection, penicillin g benzathine, 100,000 units",Bicillin L-A,Penicillin G Benzathine,A-S Medication
J0561,"Injection, penicillin g benzathine, 100,000 units",Bicillin L-A,Penicillin G Benzathine,Pfizer US Pharm
J0583,"Injection, bivalirudin, 1 mg",Angiomax,Bivalirudin,The Medi/Chiesi
J0583,"Injection, bivalirudin, 1 mg",Bivalirudin,Bivalirudin,Hospira
J0583,"Injection, bivalirudin, 1 mg",Bivalirudin,Bivalirudin,Sandoz
J0585,"Injection, onabotulinumtoxina, 1 unit",Botox,Onabotulinumtoxina,Allergan/Botox
J0585,"Injection, onabotulinumtoxina, 1 unit",Botox COsmetic,Onabotulinumtoxina,Allergan/Botox
J0586,"Injection, abobotulinumtoxina, 5 units",Dysport,Abobotulinumtoxina,Galderma Labora
J0586,"Injection, abobotulinumtoxina, 5 units",Dysport,Abobotulinumtoxina,Ipsen BioPharma
J0587,"Injection, rimabotulinumtoxinb, 100 units",Myobloc,Rimabotulinumtoxinb,Solstice Neuros
J0588,"Injection, incobotulinumtoxin a, 1 unit",Xeomin,Incobotulinumtoxina,Merz
J0592,"Injection, buprenorphine hydrochloride, 0.1 mg",Buprenorphine HCL,Buprenorphine HCL,Hospira
J0592,"Injection, buprenorphine hydrochloride, 0.1 mg",Buprenorphine HCL,Buprenorphine HCL,Par Pharm.
J0594,"Injection, busulfan, 1 mg",Busulfex,Busulfan,Otsuka America
J0595,"Injection, butorphanol tartrate, 1 mg",Butorphanol Tartrate,Butorphanol Tartrate,Hospira
J0595,"Injection, butorphanol tartrate, 1 mg",Butorphanol Tartrate,Butorphanol Tartrate,Hospira/Novaplu
J0595,"Injection, butorphanol tartrate, 1 mg",Butorphanol Tartrate,Butorphanol Tartrate,"West-Ward, Inc."
J0597,"Injection, c-1 esterase inhibitor (human), berinert, 10 units",Berinert,C1 Esterase Inhibitor,"CSL Behring, Ll"
J0598,"Injection, c-1 esterase inhibitor (human), cinryze, 10 units",Cinryze,C1 Esterase Inhibitor,ViroPharma/Shir
J0600,"Injection, edetate calcium disodium, up to 1000 mg",Calcium DIsodium Versenate,Edetate Calcium DIsodium,Medicis Derm
J0610,"Injection, calcium gluconate, per 10 ml",Calcium Gluconate,Calcium Gluconate,APP/Fresenius K
J0610,"Injection, calcium gluconate, per 10 ml",Calcium Gluconate,Calcium Gluconate,Amer. Regent
J0630,"Injection, calcitonin salmon, up to 400 units",Miacalcin,"Calcitonin,salmon,synthetic",Sebela Pharme
J0630,"Injection, calcitonin salmon, up to 400 units",Miacalcin,"Calcitonin,salmon,synthetic",Sebela/Mylan In
J0636,"Injection, calcitriol, 0.1 mcg",Calcitriol,Calcitriol,APP/Fresenius K
J0636,"Injection, calcitriol, 0.1 mcg",Calcitriol,Calcitriol,Akorn Inc.
J0636,"Injection, calcitriol, 0.1 mcg",Calcitriol,Calcitriol,Akorn/Novaplus
J0636,"Injection, calcitriol, 0.1 mcg",Calcitriol,Calcitriol,Amer. Regent
J0636,"Injection, calcitriol, 0.1 mcg",Calcitriol,Calcitriol,"West-Ward, Inc."
J0637,"Injection, caspofungin acetate, 5 mg",Cancidas,Caspofungin Acetate,Merck Sharp & D
J0640,"Injection, leucovorin calcium, per 50 mg",Calcium Folinate,Leucovorin Calcium,Teva Parenteral
J0640,"Injection, leucovorin calcium, per 50 mg",Leucovorin Calcium,Leucovorin Calcium,APP/Fresenius K
J0640,"Injection, leucovorin calcium, per 50 mg",Leucovorin Calcium,Leucovorin Calcium,APP/Novaplus
J0640,"Injection, leucovorin calcium, per 50 mg",Leucovorin Calcium,Leucovorin Calcium,Sagent Pharme
J0640,"Injection, leucovorin calcium, per 50 mg",Leucovorin Calcium,Leucovorin Calcium,Sagent/Premierp
J0640,"Injection, leucovorin calcium, per 50 mg",Leucovorin Calcium,Leucovorin Calcium,Teva Parenteral
J0641,"Injection, levoleucovorin calcium, 0.5 mg",Fusilev,Levoleucovorin Calcium,SPectrum Pharma
J0641,"Injection, levoleucovorin calcium, 0.5 mg",Levoleucovorin Calcium,Levoleucovorin Calcium,Mylan Instituti
J0641,"Injection, levoleucovorin calcium, 0.5 mg",Levoleucovorin Calcium,Levoleucovorin Calcium,Sandoz
J0670,"Injection, mepivacaine hydrochloride, per 10 ml",Polocaine,Mepivacaine HCL,APP/Fresenius K
J0670,"Injection, mepivacaine hydrochloride, per 10 ml",Polocaine,Mepivacaine HCL/PF,APP/Fresenius K
J0670,"Injection, mepivacaine hydrochloride, per 10 ml",Polocaine-MPF,Mepivacaine HCL/PF,APP/Fresenius K
J0690,"Injection, cefazolin sodium, 500 mg",Cefazolin Sodium,Cefazolin Sodium,APP/Fresenius K
J0690,"Injection, cefazolin sodium, 500 mg",Cefazolin Sodium,Cefazolin Sodium,Hospira
J0690,"Injection, cefazolin sodium, 500 mg",Cefazolin Sodium,Cefazolin Sodium,Sagent Pharme
J0690,"Injection, cefazolin sodium, 500 mg",Cefazolin Sodium,Cefazolin Sodium,Sagent/Premierp
J0690,"Injection, cefazolin sodium, 500 mg",Cefazolin Sodium,Cefazolin Sodium,Sandoz
J0690,"Injection, cefazolin sodium, 500 mg",Cefazolin Sodium,Cefazolin Sodium,Sandoz/Novaplus
J0690,"Injection, cefazolin sodium, 500 mg",Cefazolin Sodium,Cefazolin Sodium,WG Critical Car
J0690,"Injection, cefazolin sodium, 500 mg",Cefazolin Sodium,Cefazolin Sodium,"West-Ward, Inc."
J0690,"Injection, cefazolin sodium, 500 mg",Cefazolin Sodium-Dextrose,"Cefazolin Sodium/Dextrose,Iso",B.Braun
J0690,"Injection, cefazolin sodium, 500 mg",Cefazolin Sodium-Dextrose,"Cefazolin Sodium/Dextrose,Iso",Baxter Healthca
J0692,"Injection, cefepime hydrochloride, 500 mg",Cefepime,Cefepime In Iso-Osm Dextrose,Baxter Healthca
J0692,"Injection, cefepime hydrochloride, 500 mg",Cefepime HCL,Cefepime HCL,APP/Fresenius K
J0692,"Injection, cefepime hydrochloride, 500 mg",Cefepime HCL,Cefepime HCL,Sagent Pharme
J0692,"Injection, cefepime hydrochloride, 500 mg",Cefepime HCL,Cefepime HCL,Sagent/Premierp
J0692,"Injection, cefepime hydrochloride, 500 mg",Cefepime HCL,Cefepime HCL,Sandoz
J0692,"Injection, cefepime hydrochloride, 500 mg",Cefepime HCL,Cefepime HCL,WG Critical Car
J0692,"Injection, cefepime hydrochloride, 500 mg",Cefepime-Dextrose,Cefepime HCL In Dextrose 5 %,B.Braun
J0692,"Injection, cefepime hydrochloride, 500 mg",Maxipime,Cefepime HCL,Hospira
J0694,"Injection, cefoxitin sodium, 1 gm",Cefoxitin,Cefoxitin Sodium,APP/Fresenius K
J0694,"Injection, cefoxitin sodium, 1 gm",Cefoxitin,Cefoxitin Sodium,APP/Premierpro
J0694,"Injection, cefoxitin sodium, 1 gm",Cefoxitin,Cefoxitin Sodium,Sagent Pharme
J0694,"Injection, cefoxitin sodium, 1 gm",Cefoxitin,Cefoxitin Sodium,WG Critical Car
J0694,"Injection, cefoxitin sodium, 1 gm",Cefoxitin,Cefoxitin Sodium,"West-Ward, Inc."
J0694,"Injection, cefoxitin sodium, 1 gm",Cefoxitin Sodium,"Cefoxitin Sodium/Dextrose,Iso",B.Braun
J0696,"Injection, ceftriaxone sodium, per 250 mg",Ceftriaxone,Ceftriaxone In Is-Osm Dextrose,B.Braun
J0696,"Injection, ceftriaxone sodium, per 250 mg",Ceftriaxone,Ceftriaxone In Is-Osm Dextrose,Baxter Healthca
J0696,"Injection, ceftriaxone sodium, per 250 mg",Ceftriaxone,Ceftriaxone Sodium,A-S Medication
J0696,"Injection, ceftriaxone sodium, per 250 mg",Ceftriaxone,Ceftriaxone Sodium,APP/Fresenius K
J0696,"Injection, ceftriaxone sodium, per 250 mg",Ceftriaxone,Ceftriaxone Sodium,Bedford Labs
J0696,"Injection, ceftriaxone sodium, per 250 mg",Ceftriaxone,Ceftriaxone Sodium,Hospira
J0696,"Injection, ceftriaxone sodium, per 250 mg",Ceftriaxone,Ceftriaxone Sodium,Hospira/Novaplu
J0696,"Injection, ceftriaxone sodium, per 250 mg",Ceftriaxone,Ceftriaxone Sodium,Lupin Pharmeu
J0696,"Injection, ceftriaxone sodium, per 250 mg",Ceftriaxone,Ceftriaxone Sodium,Sagent Pharme
J0696,"Injection, ceftriaxone sodium, per 250 mg",Ceftriaxone,Ceftriaxone Sodium,Sagent/Premierp
J0696,"Injection, ceftriaxone sodium, per 250 mg",Ceftriaxone,Ceftriaxone Sodium,Sandoz
J0696,"Injection, ceftriaxone sodium, per 250 mg",Ceftriaxone,Ceftriaxone Sodium,Sandoz/Novaplus
J0696,"Injection, ceftriaxone sodium, per 250 mg",Ceftriaxone,Ceftriaxone Sodium,WG Critical Car
J0696,"Injection, ceftriaxone sodium, per 250 mg",Ceftriaxone,Ceftriaxone Sodium,"West-Ward, Inc."
J0696,"Injection, ceftriaxone sodium, per 250 mg",Ceftriaxone,Ceftriaxone Sodium,Wockhardt USA L
J0696,"Injection, ceftriaxone sodium, per 250 mg",Rocephin,Ceftriaxone Sodium,Roche Labs.
J0697,"Injection, sterile cefuroxime sodium, per 750 mg",Cefuroxime,"Cefuroxime Sodium/Dextrose,Iso",B.Braun
J0697,"Injection, sterile cefuroxime sodium, per 750 mg",Cefuroxime Sodium,Cefuroxime Sodium,APP/Fresenius K
J0697,"Injection, sterile cefuroxime sodium, per 750 mg",Cefuroxime Sodium,Cefuroxime Sodium,Sagent Pharme
J0697,"Injection, sterile cefuroxime sodium, per 750 mg",Cefuroxime Sodium,Cefuroxime Sodium,"West-Ward, Inc."
J0697,"Injection, sterile cefuroxime sodium, per 750 mg",Cefuroxime Sodium,Cefuroxime Sodium,"West-Ward,Inc./"
J0697,"Injection, sterile cefuroxime sodium, per 750 mg",Zinacef,Cefuroxime Sodium,Covis/Novaplus
J0697,"Injection, sterile cefuroxime sodium, per 750 mg",Zinacef,Cefuroxime Sodium,Covis/Premierpr
J0697,"Injection, sterile cefuroxime sodium, per 750 mg",Zinacef,Cefuroxime Sodium,Covis/Teligent
J0697,"Injection, sterile cefuroxime sodium, per 750 mg",Zinacef,Cefuroxime Sodium/Water,Covis Pharmeu
J0697,"Injection, sterile cefuroxime sodium, per 750 mg",Zinacef,Cefuroxime Sodium/Water,Covis/Teligent
J0698,"Injection, cefotaxime sodium, per gm",Cefotaxime Sodium,Cefotaxime Sodium,APP/Fresenius K
J0698,"Injection, cefotaxime sodium, per gm",Cefotaxime Sodium,Cefotaxime Sodium,"West-Ward, Inc."
J0698,"Injection, cefotaxime sodium, per gm",Cefotaxime Sodium,Cefotaxime Sodium,Wockhardt USA L
J0698,"Injection, cefotaxime sodium, per gm",Claforan,Cefotaxime Sodium,Hospira
J0698,"Injection, cefotaxime sodium, per gm",Claforan,Cefotaxime Sodium,Sanofi-Aventis/
J0698,"Injection, cefotaxime sodium, per gm",Claforan-Dextrose,"Cefotaxime Sodium/Dextrose,Iso",Baxter Healthca
