"Medicare Part B Drug Spending and Utilization, Calendar Years 2012 - 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Calendar Year 2012,,,,,,,Calendar Year 2013,,,,,,,Calendar Year 2014,,,,,,,Calendar Year 2015,,,,,,,Calendar Year 2016,,,,,,,,Yearly Change,
90715,"Vaccine for tetanus, diphtheria toxoids and acellular pertussis (whooping cough) for injection into muscle, patient 7 years or older",Adacel Tdap*,"Diph,pertuss(Acell),tet Vac/PF*","$1,115,110","29,341","29,337","29,289",$38.01,$38.01,$38.07,"$1,380,732","40,604","40,599","40,521",$34.01,$34.01,$34.07,"$1,473,666","43,994","43,988","43,905",$33.50,$33.50,$33.56,"$2,094,466","65,992","65,985","65,845",$31.74,$31.74,$31.81,"$3,197,442","103,047","103,045","102,784",$31.03,$31.03,$31.11,$31.44,-2.23%,-4.94%
J9042,"Injection, brentuximab vedotin, 1 mg",Adcetris,Brentuximab Vedotin,,,,,,,,"$39,712,709","399,681","2,744",645,$99.36,"$14,472.56","$61,570.09","$52,356,958","490,544","3,453",761,$106.73,"$15,162.74","$68,800.21","$61,940,422","537,060","3,770",826,$115.33,"$16,429.82","$74,988.40","$74,060,697","596,128","4,216",901,$124.24,"$17,566.58","$82,198.33",$126.76,7.72%,7.73%
J0153,"Injection, adenosine, 1 mg (not to be used to report any adenosine phosphate compounds)",Adenocard*,Adenosine*,,,,,,,,,,,,,,,,,,,,,,"$2,483,571","2,832,212","53,785","53,123",$0.88,$46.18,$46.75,"$1,849,210","2,449,156","46,520","46,033",$0.76,$39.75,$40.17,$0.76,-13.90%,-13.90%
J0171,"Injection, adrenalin, epinephrine, 0.1 mg",Adrenalin*,Epinephrine*,"$20,222","14,984","9,655","5,038",$1.35,$2.09,$4.01,"$3,821","15,467","9,840","5,008",$0.25,$0.39,$0.76,"$3,210","15,241","9,461","4,720",$0.21,$0.34,$0.68,"$4,028","17,321","9,229","4,865",$0.23,$0.44,$0.83,"$6,342","17,474","9,703","5,519",$0.36,$0.65,$1.15,$0.13,56.08%,-27.99%
J9190,"Injection, fluorouracil, 500 mg",Adrucil*,Fluorouracil*,"$3,471,466","1,894,618","302,710","37,470",$1.83,$11.47,$92.65,"$3,660,066","1,831,808","284,883","35,448",$2.00,$12.85,$103.25,"$3,480,476","1,750,253","264,127","33,692",$1.99,$13.18,$103.30,"$3,517,334","1,756,329","254,893","32,713",$2.00,$13.80,$107.52,"$3,195,252","1,709,732","237,528","32,326",$1.87,$13.45,$98.84,$1.81,-6.68%,0.50%
J7192,"Factor viii (antihemophilic factor, recombinant) per i.u., not otherwise specified",Advate*,"Antihemoph.FVIII,full Length*","$195,734,384","15,549,954","6,784",886,$12.59,"$28,852.36","$220,919.17","$203,128,742","15,282,768","7,215",909,$13.29,"$28,153.67","$223,463.96","$225,479,195","16,750,363","7,894",950,$13.46,"$28,563.36","$237,346.52","$230,173,466","17,307,514","7,853",962,$13.30,"$29,310.26","$239,265.56","$211,958,232","16,313,545","7,262",933,$12.99,"$29,187.31","$227,179.24",$1.19,-2.30%,0.80%
J7611,"Albuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, 1 mg",Albuterol Sulfate (J7611),Albuterol Sulfate,"$337,907","3,395,625","39,535","21,667",$0.10,$8.55,$15.60,"$269,941","2,727,373","39,520","25,499",$0.10,$6.83,$10.59,"$232,216","2,250,242","38,126","26,322",$0.10,$6.09,$8.82,"$223,338","1,900,439","36,176","26,059",$0.12,$6.17,$8.57,"$203,452","1,842,652","38,008","27,713",$0.11,$5.35,$7.34,$0.11,-6.05%,2.63%
J7613,"Albuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose, 1 mg",Albuterol Sulfate (J7613),Albuterol Sulfate,"$26,682,310","448,605,068","1,897,919","558,431",$0.06,$14.06,$47.78,"$21,628,072","429,548,239","1,868,747","581,431",$0.05,$11.57,$37.20,"$18,192,616","356,184,457","1,652,877","532,088",$0.05,$11.01,$34.19,"$20,624,266","321,484,518","1,555,906","517,710",$0.06,$13.26,$39.84,"$14,342,186","303,382,828","1,506,615","509,919",$0.05,$9.52,$28.13,$0.05,-26.31%,-5.58%
J1931,"Injection, laronidase, 0.1 mg",Aldurazyme,Laronidase,"$4,005,282","152,428",292,18,$26.28,"$13,716.72","$222,515.64","$4,554,704","163,488",316,17,$27.86,"$14,413.62","$267,923.78","$2,776,874","98,407",199,12,$28.22,"$13,954.14","$231,406.17","$1,852,974","64,050",153,,$28.93,"$12,110.94",,"$2,326,207","78,646",174,13,$29.58,"$13,369.01","$178,939.00",$30.07,2.24%,3.00%
J9305,"Injection, pemetrexed, 10 mg",Alimta,Pemetrexed DIsodium,"$507,965,516","9,210,514","97,733","22,581",$55.15,"$5,197.48","$22,495.26","$548,196,950","9,457,534","100,345","22,968",$57.96,"$5,463.12","$23,867.86","$559,340,726","9,465,163","100,760","22,997",$59.09,"$5,551.22","$24,322.33","$548,142,993","9,142,608","97,319","21,959",$59.95,"$5,632.44","$24,962.11","$511,822,425","8,364,409","89,152","20,312",$61.19,"$5,741.01","$25,198.03",$62.29,2.06%,2.63%
J8600,"Melphalan; oral, 2 mg",Alkeran (J8600),Melphalan,"$1,379,191","179,026","7,080","2,251",$7.70,$194.80,$612.70,"$940,507","111,021","4,401","1,475",$8.47,$213.70,$637.63,"$916,977","101,185","3,870","1,209",$9.06,$236.95,$758.46,"$779,386","78,317","2,959",901,$9.95,$263.40,$865.02,"$555,907","51,291","1,978",602,$10.84,$281.05,$923.43,$11.11,8.91%,8.91%
J9245,"Injection, melphalan hydrochloride, 50 mg",Alkeran (J9245)*,Melphalan HCL*,"$2,994,962","2,301",780,379,"$1,301.59","$3,839.69","$7,902.27","$2,813,924","2,201",704,371,"$1,278.48","$3,997.05","$7,584.70","$3,384,573","2,820",800,419,"$1,200.20","$4,230.72","$8,077.74","$3,131,218","2,461",582,373,"$1,272.34","$5,380.10","$8,394.69","$4,584,914","2,632",525,400,"$1,741.99","$8,733.17","$11,462.29","$1,781.43",36.91%,7.56%
J2469,"Injection, palonosetron hcl, 25 mcg",Aloxi,Palonosetron HCL,"$190,089,042","10,222,276","976,840","165,560",$18.60,$194.60,"$1,148.16","$185,380,654","9,783,164","923,770","161,160",$18.95,$200.68,"$1,150.29","$182,310,411","9,482,332","890,455","158,254",$19.23,$204.74,"$1,152.01","$178,161,481","8,895,449","832,527","152,689",$20.03,$214.00,"$1,166.83","$185,078,539","8,456,601","789,113","149,112",$21.89,$234.54,"$1,241.20",$22.26,9.27%,4.16%
J7186,"Injection, antihemophilic factor viii/von willebrand factor complex (human), per factor viii i.u.",Alphanate (J7186),Antihemophilic Factor/VWF,"$3,930,318","410,938",326,42,$9.56,"$12,056.19","$93,578.99","$6,808,715","276,149",328,55,$24.66,"$20,758.28","$123,794.81","$10,692,157","945,480",592,55,$11.31,"$18,061.08","$194,402.86","$11,219,230","1,188,827",486,60,$9.44,"$23,084.84","$186,987.17","$11,562,024","986,252",566,69,$11.72,"$20,427.60","$167,565.56",$0.97,24.22%,5.22%
J7190,"Factor viii (antihemophilic factor, human) per i.u.",Alphanate (J7190)*,Antihemophilic Factor/VWF*,"$34,048,744","4,861,899","1,413",260,$7.00,"$24,096.78","$130,956.71","$33,711,328","4,858,965","1,303",233,$6.94,"$25,872.09","$144,683.81","$28,973,221","4,495,281","1,159",200,$6.45,"$24,998.47","$144,866.11","$25,596,793","4,265,048",947,163,$6.00,"$27,029.35","$157,035.54","$20,840,026","2,908,429",761,128,$7.17,"$27,385.05","$162,812.71",$0.97,19.39%,0.57%
J7193,"Factor ix (antihemophilic factor, purified, non-recombinant) per i.u.",Alphanine SD*,Factor Ix*,"$19,756,952","2,354,375",664,112,$8.39,"$29,754.45","$176,401.36","$19,820,986","2,690,755",670,115,$7.37,"$29,583.56","$172,356.40","$19,057,696","1,276,703",563,96,$14.93,"$33,850.26","$198,517.66","$14,424,127","709,875",429,81,$20.32,"$33,622.67","$178,075.64","$14,008,022","500,771",452,70,$27.97,"$30,991.20","$200,114.60",$1.11,37.67%,35.12%
J7201,"Injection, factor ix, fc fusion protein (recombinant), per iu",Alprolix,"Factor Ix Rec, Fc Fusion Protn",,,,,,,,,,,,,,,,,,,,,,"$31,482,334","1,480,972",624,65,$21.26,"$50,452.46","$484,343.59","$41,807,759","2,285,755",865,90,$18.29,"$48,332.67","$464,530.66",$2.81,-13.96%,-13.96%
J0289,"Injection, amphotericin b liposome, 10 mg",AmbIsome,Amphotericin B Liposome,"$2,718,630","134,552","1,944",352,$20.21,"$1,398.47","$7,723.38","$3,287,080","156,627","2,351",352,$20.99,"$1,398.16","$9,338.29","$3,312,566","137,397","1,813",329,$24.11,"$1,827.12","$10,068.59","$2,988,803","122,829","1,659",310,$24.33,"$1,801.57","$9,641.30","$2,877,918","117,171","1,589",317,$24.56,"$1,811.15","$9,078.61",$18.50,0.94%,5.00%
J0207,"Injection, amifostine, 500 mg",Amifostine,Amifostine Crystalline,"$2,225,605","7,083","4,474",795,$314.22,$497.45,"$2,799.50","$1,493,375","5,040","3,811",679,$296.30,$391.86,"$2,199.37","$1,220,490","4,092","2,988",524,$298.28,$408.46,"$2,329.18","$1,513,793","3,966","2,555",489,$381.69,$592.48,"$3,095.69","$1,447,204","3,707","2,144",436,$390.40,$675.00,"$3,319.28",$396.54,2.28%,5.58%
J0278,"Injection, amikacin sulfate, 100 mg",Amikacin Sulfate,Amikacin Sulfate,"$17,216","21,721","3,080",947,$0.79,$5.59,$18.18,"$26,707","24,767","3,942","1,294",$1.08,$6.77,$20.64,"$45,494","35,943","5,728","1,776",$1.27,$7.94,$25.62,"$45,586","39,275","6,453","2,247",$1.16,$7.06,$20.29,"$56,464","39,880","6,368","2,324",$1.42,$8.87,$24.30,$1.44,21.98%,15.61%
J0280,"Injection, aminophyllin, up to 250 mg",Aminophylline,Aminophylline,"$62,078","135,071","122,527","117,486",$0.46,$0.51,$0.53,"$69,334","79,326","71,280","67,355",$0.87,$0.97,$1.03,"$217,791","94,212","85,364","80,943",$2.31,$2.55,$2.69,"$470,929","94,644","84,984","81,027",$4.98,$5.54,$5.81,"$664,431","97,523","86,298","83,078",$6.81,$7.70,$8.00,$8.44,36.93%,96.22%
J0285,"Injection, amphotericin b, 50 mg",Amphotericin B,Amphotericin B,"$5,952",529,172,63,$11.25,$34.60,$94.47,"$4,425",317,164,68,$13.97,$26.98,$65.08,"$3,723",256,186,86,$14.54,$20.02,$43.30,"$5,243",373,228,73,$14.06,$23.00,$71.82,"$8,210",467,202,72,$17.58,$40.65,$114.03,$23.32,25.07%,11.81%
J0290,"Injection, ampicillin sodium, 500 mg",Ampicillin Sodium,Ampicillin Sodium,"$54,884","24,638","7,401","4,600",$2.23,$7.42,$11.93,"$41,556","25,407","6,826","3,902",$1.64,$6.09,$10.65,"$20,060","14,274","5,483","3,479",$1.41,$3.66,$5.77,"$17,019","14,380","5,152","3,020",$1.18,$3.30,$5.64,"$29,941","20,386","5,026","2,681",$1.47,$5.96,$11.17,$1.50,24.09%,-9.89%
J0295,"Injection, ampicillin sodium/sulbactam sodium, per 1.5 gm",Ampicillin-Sulbactam*,Ampicillin Sodium/Sulbactam Na*,"$24,222","7,403","2,269","1,265",$3.27,$10.68,$19.15,"$18,592","8,149","2,210","1,213",$2.28,$8.41,$15.33,"$15,731","9,185","2,045","1,138",$1.71,$7.69,$13.82,"$16,947","8,013","2,077","1,035",$2.11,$8.16,$16.37,"$26,003","8,764","1,994",986,$2.97,$13.04,$26.37,$2.87,40.29%,-2.42%
J0583,"Injection, bivalirudin, 1 mg",Angiomax*,Bivalirudin*,"$65,708,152","23,279,031","86,099","80,369",$2.82,$763.17,$817.58,"$78,004,942","25,504,282","92,291","86,198",$3.06,$845.21,$904.95,"$86,862,722","26,704,393","93,989","87,599",$3.25,$924.18,$991.59,"$10,622,939","2,984,153","11,374","11,133",$3.56,$933.97,$954.18,"$1,696,839","586,276","2,305","2,151",$2.89,$736.16,$788.86,$2.21,-18.70%,0.63%
J1260,"Injection, dolasetron mesylate, 10 mg",Anzemet,Dolasetron Mesylate,"$35,046","7,040","2,703",827,$4.98,$12.97,$42.38,"$6,667","1,158",539,113,$5.76,$12.37,$59.00,"$1,737",307,138,27,$5.66,$12.59,$64.33,"$4,892",629,267,83,$7.78,$18.32,$58.94,"$1,916",276,145,38,$6.94,$13.21,$50.41,$6.76,-10.76%,8.67%
Q4101,"Apligraf, per square centimeter",Apligraf,"Cult Skin Subst,human-Bovine","$62,325,661","1,702,359","32,449","15,657",$36.61,"$1,920.73","$3,980.69","$67,731,245","1,704,338","32,238","14,759",$39.74,"$2,100.98","$4,589.15","$5,523,868","150,805","3,666","1,464",$36.63,"$1,506.78","$3,773.13","$3,473,309","111,621","2,816","1,087",$31.12,"$1,233.42","$3,195.32","$2,571,623","84,122","2,197",851,$30.57,"$1,170.52","$3,021.88",$31.11,-1.76%,-4.41%
J0256,"Injection, alpha 1 proteinase inhibitor (human), not otherwise specified, 10 mg",Aralast NP*,Alpha-1-Proteinase Inhibitor*,"$45,029,133","11,733,559","13,908",703,$3.84,"$3,237.64","$64,052.82","$49,186,302","12,544,433","14,849",698,$3.92,"$3,312.43","$70,467.48","$55,760,343","13,800,893","16,020",754,$4.04,"$3,480.67","$73,952.71","$67,871,533","15,836,401","18,527",921,$4.29,"$3,663.38","$73,693.30","$89,578,958","19,770,230","23,352","1,097",$4.53,"$3,836.03","$81,658.12",$4.66,5.72%,4.24%
J0881,"Injection, darbepoetin alfa, 1 microgram",Aranesp (J0881),Darbepoetin Alfa In Polysorbat,"$327,865,624","100,921,281","473,175","85,291",$3.25,$692.91,"$3,844.08","$289,701,942","84,972,181","391,498","70,102",$3.41,$739.98,"$4,132.58","$286,785,007","78,480,960","350,527","63,295",$3.65,$818.15,"$4,530.93","$295,044,889","74,820,381","327,698","58,386",$3.94,$900.36,"$5,053.35","$290,619,808","72,885,495","315,494","55,107",$3.99,$921.16,"$5,273.74",$4.06,1.12%,5.26%
J0882,"Injection, darbepoetin alfa, 1 microgram (for esrd on dialysis)",Aranesp (J0882),Darbepoetin Alfa In Polysorbat,"$16,237,676","9,802,897","52,610","8,516",$1.66,$308.64,"$1,906.73","$7,469,886","8,199,044","46,051","7,640",$0.91,$162.21,$977.73,"$645,515","171,489","1,777","1,202",$3.76,$363.26,$537.03,"$588,708","148,323","1,599","1,083",$3.97,$368.17,$543.59,"$475,706","119,078","1,150",689,$3.99,$413.66,$690.43,$4.06,0.65%,24.62%
J3303,"Injection, triamcinolone hexacetonide, per 5mg",Aristospan,Triamcinolone Hexacetonide,"$523,510","331,956","63,885","44,362",$1.58,$8.19,$11.80,"$572,577","300,513","56,581","40,204",$1.91,$10.12,$14.24,"$379,747","231,965","43,796","31,864",$1.64,$8.67,$11.92,"$141,761","79,902","16,732","11,070",$1.77,$8.47,$12.81,"$121,337","62,946","13,649","8,624",$1.93,$8.89,$14.07,$2.26,8.65%,5.15%
J1652,"Injection, fondaparinux sodium, 0.5 mg",Arixtra*,Fondaparinux Sodium*,"$1,752,844","325,798","20,853","2,653",$5.38,$84.06,$660.70,"$974,455","240,097","15,840","2,243",$4.06,$61.52,$434.44,"$527,777","134,245","8,679","1,367",$3.93,$60.81,$386.08,"$301,002","85,731","5,451",913,$3.51,$55.22,$329.68,"$123,465","48,733","3,037",554,$2.53,$40.65,$222.86,$2.42,-27.84%,-17.16%
J9302,"Injection, ofatumumab, 10 mg",Arzerra,Ofatumumab,"$28,581,850","630,423","3,201",567,$45.34,"$8,929.04","$50,408.91","$34,247,945","754,546","3,878",682,$45.39,"$8,831.34","$50,216.93","$23,124,615","496,374","2,712",564,$46.59,"$8,526.78","$41,001.09","$14,574,989","305,034","1,876",356,$47.78,"$7,769.18","$40,940.98","$16,016,271","318,413","2,001",386,$50.30,"$8,004.13","$41,492.93",$51.24,5.27%,2.63%
J7508,"Tacrolimus, extended release, (astagraf xl), oral, 0.1 mg",Astagraf Xl,Tacrolimus,,,,,,,,,,,,,,,"$1,493,298","3,799,452","2,234",464,$0.39,$668.44,"$3,218.31","$4,402,062","11,445,806","7,250",939,$0.38,$607.18,"$4,688.03","$5,173,134","13,409,476","8,851","1,104",$0.39,$584.47,"$4,685.81",$0.39,0.31%,-0.93%
J2060,"Injection, lorazepam, 2 mg",Ativan*,Lorazepam*,"$56,659","58,392","55,136","17,880",$0.97,$1.03,$3.17,"$52,657","61,427","58,332","17,188",$0.86,$0.90,$3.06,"$43,453","56,576","54,775","16,294",$0.77,$0.79,$2.67,"$37,743","49,838","48,705","14,703",$0.76,$0.77,$2.57,"$37,948","47,105","46,122","13,658",$0.81,$0.82,$2.78,$0.79,6.38%,-4.54%
J0461,"Injection, atropine sulfate, 0.01 mg",Atropine Sulfate,Atropine Sulfate,"$50,877","2,477,503","55,131","14,710",$0.02,$0.92,$3.46,"$68,384","2,196,919","50,893","12,147",$0.03,$1.34,$5.63,"$86,023","2,010,314","50,260","11,594",$0.04,$1.71,$7.42,"$97,056","2,088,688","50,024","11,324",$0.05,$1.94,$8.57,"$103,029","2,223,045","50,752","11,015",$0.05,$2.03,$9.35,$0.05,-0.26%,22.57%
J9035,"Injection, bevacizumab, 10 mg",Avastin,Bevacizumab,"$1,001,202,914","16,392,600","769,567","182,292",$61.08,"$1,301.00","$5,492.30","$1,035,465,712","16,397,631","774,012","187,540",$63.15,"$1,337.79","$5,521.31","$1,063,863,239","16,422,352","885,319","216,425",$64.78,"$1,201.67","$4,915.62","$1,119,338,120","16,581,824","882,337","208,566",$67.50,"$1,268.61","$5,366.83","$1,111,678,356","15,871,461","881,284","207,422",$70.04,"$1,261.43","$5,359.50",$71.58,3.76%,3.48%
Q3027,"Injection, interferon beta-1a, 1 mcg for intramuscular use",Avonex*,Interferon Beta-1a*,,,,,,,,,,,,,,,"$5,556,667","162,804","4,509",216,$34.13,"$1,232.35","$25,725.31","$4,492,287","118,481","3,184",138,$37.92,"$1,410.89","$32,552.80","$4,716,217","109,764","3,082",108,$42.97,"$1,530.25","$43,668.68",$43.86,13.32%,12.20%
J9025,"Injection, azacitidine, 1 mg",Azacitidine*,Azacitidine*,"$208,108,143","38,922,167","182,010","8,441",$5.35,"$1,143.39","$24,654.44","$226,683,280","40,378,979","185,426","8,641",$5.61,"$1,222.50","$26,233.45","$194,472,494","41,914,059","188,141","8,821",$4.64,"$1,033.65","$22,046.54","$142,582,229","43,170,469","190,933","8,946",$3.30,$746.77,"$15,938.10","$125,490,219","44,006,520","196,748","9,016",$2.85,$637.82,"$13,918.61",$2.90,-13.66%,-14.54%
J7500,"Azathioprine, oral, 50 mg",Azasan*,Azathioprine*,"$201,775","1,833,474","33,528","4,374",$0.11,$6.02,$46.13,"$428,856","1,852,636","34,542","4,453",$0.23,$12.42,$96.31,"$349,965","1,830,620","34,615","4,493",$0.19,$10.11,$77.89,"$476,224","1,894,790","35,981","4,626",$0.25,$13.24,$102.95,"$673,877","1,991,330","37,834","4,811",$0.34,$17.81,$140.07,$0.34,34.64%,32.42%
J0456,"Injection, azithromycin, 500 mg",Azithromycin*,Azithromycin*,"$18,416","3,256","2,835",954,$5.66,$6.50,$19.30,"$12,097","3,510","2,800",887,$3.45,$4.32,$13.64,"$9,386","2,770","2,457",942,$3.39,$3.82,$9.96,"$8,392","2,460","2,217",819,$3.41,$3.79,$10.25,"$7,593","1,713","1,439",737,$4.43,$5.28,$10.30,$3.70,29.91%,-5.91%
90585,Vaccine for tuberculosis injection into skin,BCG (Tice Strain) (90585)*,BCG Live*,"$97,793",873,724,300,$112.02,$135.07,$325.98,"$71,779",670,618,292,$107.13,$116.15,$245.82,"$53,996",453,395,186,$119.20,$136.70,$290.30,"$55,044",459,429,197,$119.92,$128.31,$279.41,"$55,578",466,430,222,$119.27,$129.25,$250.35,$123.34,-0.55%,1.58%
90586,Vaccine for bladder cancer injection into urinary bladder,BCG (Tice Strain) (90586)*,BCG Live*,"$28,996",247,244,62,$117.39,$118.84,$467.68,"$24,881",213,209,50,$116.81,$119.05,$497.62,"$42,946",361,337,62,$118.96,$127.44,$692.68,"$37,568",314,310,71,$119.64,$121.19,$529.13,"$25,870",213,203,53,$121.45,$127.44,$488.11,$123.34,1.51%,0.85%
J9031,Bcg (intravesical) per instillation,BCG (Tice Strain) (J9031)*,BCG Live*,"$18,315,748","156,063","151,888","28,683",$117.36,$120.59,$638.56,"$19,306,045","163,511","159,641","29,167",$118.07,$120.93,$661.91,"$18,330,304","153,583","150,161","28,313",$119.35,$122.07,$647.42,"$18,157,465","151,513","147,990","27,460",$119.84,$122.69,$661.23,"$21,781,868","179,708","175,319","31,379",$121.21,$124.24,$694.15,$123.34,1.14%,0.81%
J7194,"Factor ix, complex, per i.u.",Bebulin*,"Factor Ix Cplx(Pcc)no6,3factor*","$1,511,007","634,983",239,171,$2.38,"$6,322.21","$8,836.30","$1,944,634","811,658",363,294,$2.40,"$5,357.12","$6,614.40","$1,601,225","534,903",229,196,$2.99,"$6,992.25","$8,169.51","$1,648,506","443,943",208,178,$3.71,"$7,925.51","$9,261.27","$2,125,090","343,904",169,136,$6.18,"$12,574.49","$15,625.66",$1.25,66.41%,26.94%
J7195,"Injection, factor ix (antihemophilic factor, recombinant) per iu, not otherwise specified",Benefix,Factor Ix Human Recombinant,"$48,071,136","4,445,748","1,393",270,$10.81,"$34,509.07","$178,041.25","$54,472,428","3,931,833","1,634",299,$13.85,"$33,336.86","$182,182.03","$62,712,029","4,443,291","1,968",301,$14.11,"$31,865.87","$208,345.61","$53,508,119","4,524,439","1,901",280,$11.83,"$28,147.35","$191,100.43","$51,014,538","3,866,259","1,848",258,$13.19,"$27,605.27","$197,730.77",$1.48,11.57%,5.10%
J0490,"Injection, belimumab, 10 mg",Benlysta,Belimumab,"$32,541,596","901,914","10,138","1,589",$36.08,"$3,209.86","$20,479.29","$43,410,178","1,198,880","13,714","1,935",$36.21,"$3,165.39","$22,434.20","$52,641,993","1,372,448","16,738","2,293",$38.36,"$3,145.06","$22,957.69","$63,828,452","1,616,641","19,652","2,643",$39.48,"$3,247.94","$24,150.00","$76,797,133","1,876,111","22,496","2,922",$40.93,"$3,413.81","$26,282.39",$41.76,3.68%,3.21%
