OSHPD ID,Manufacturer Name,Date Reported,NDC Number,Drug Product Description,WAC Effective Date,WAC Increase Amount,WAC After Increase,Patent Expiration Date,Drug Source Type,Unit Sales Volume in US,Unit Sales Volume Non-Public Indicator,Cost Increase Factors,Cost Increase Factors Non-Public Indicator,Change Improvement Description,Change Improvement Non-Public Indicator,Acquisition Date,Company Acquired From,Acquisition Price,Acquisition Price Non-Public Indicator,Acquisition Price Comment,WAC at Acquisition,WAC Year Prior to Acquisition,Year Drug Introduced to Market,WAC at Intro to Market,Supporting Documents,General Comments
Rx0000077,AbbVie,03/31/2022,00074433906,"(adalimumab) HUMIRA, CROHN'S, 40MG/0.8 ML (6 PENS) STARTER PACK",01/14/2022,1324.95,19229.57,11/14/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074433907,"(adalimumab) HUMIRA, PSORIASIS, 40MG/0.8ML (4 PENS) STARTER PACK",01/14/2022,883.29,12819.69,11/14/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074003828,"(elagolix sodium) ORILISSA 150MG TABS, 4X7 PACK",01/14/2022,72.12,1046.66,09/01/2036,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074003956,"(elagolix sodium) ORILISSA 200MG TABS, 4X14 PACK",01/14/2022,72.12,1046.66,09/10/2024,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074244003,"(leuprolide acetate) LUPRON DEPOT PED, 15 MG PDS KIT",01/14/2022,174.82,3742.62,,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074377903,"(leuprolide acetate) LUPRON DEPOT PED, 3MONTH, 11.25MG",01/14/2022,476.18,10194.21,,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074969403,"(leuprolide acetate) LUPRON DEPOT PED, 3MONTH, 30MG",01/14/2022,524.47,11227.90,,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074210803,"(leuprolide acetate) LUPRON DEPOT PED, 7.5 MG PDS KIT",01/14/2022,87.43,1871.71,,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074366303,"(leuprolide acetate) LUPRON DEPOT, GYN,3 MONTH 11.25 MG PDS KIT",01/14/2022,218.03,4667.64,,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074364103,"(leuprolide acetate) LUPRON DEPOT, GYN,3.75 MG PDS KIT",01/14/2022,72.68,1555.87,,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074334603,"(leuprolide acetate) LUPRON DEPOT, URO,3 MONTH 22.5 MG PDS KIT",01/14/2022,259.81,5562.15,,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074368303,"(leuprolide acetate) LUPRON DEPOT, URO,4 MONTH 30 MG PDS KIT",01/14/2022,346.42,7416.22,,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074364203,"(leuprolide acetate) LUPRON DEPOT, URO,7.5 MG PDS KIT",01/14/2022,86.61,1854.06,,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074228203,(leuprolide acetate) LUPRON DEPOT-PED 11.25 MG PDS KIT,01/14/2022,158.73,3398.06,,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074347303,"(leuprolide acetate) LUPRON, URO,45MG 6MTH",01/14/2022,519.64,11124.49,02/05/2031,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00032121201,(lipase/protease/amylase) CREON 12000USP DELAYED-RELEASE 100CAP,01/14/2022,21.99,376.72,06/08/2037,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00032121207,(lipase/protease/amylase) CREON 12000USP DELAYED-RELEASE 250CAP,01/14/2022,54.98,941.79,06/08/2037,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00032122401,(lipase/protease/amylase) CREON 24000USP DELAYED-RELEASE 100CAP,01/14/2022,43.60,746.73,06/08/2037,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00032122407,(lipase/protease/amylase) CREON 24000USP DELAYED-RELEASE 250CAP,01/14/2022,107.23,1836.75,06/08/2037,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00032120370,(lipase/protease/amylase) CREON 3000USP DELAYED-RELEASE 70CAP,01/14/2022,6.50,111.43,06/08/2037,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00032301613,(lipase/protease/amylase) CREON 36000USP DELAYED-RELEASE 100CAP,01/14/2022,66.20,1133.82,06/08/2037,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00032301628,(lipase/protease/amylase) CREON 36000USP DELAYED-RELEASE 250CAP,01/14/2022,165.46,2834.20,06/08/2037,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00032120601,(lipase/protease/amylase) CREON 6000USP DELAYED-RELEASE 100CAP,01/14/2022,11.00,188.47,06/08/2037,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00032120607,(lipase/protease/amylase) CREON 6000USP DELAYED-RELEASE 250CAP,01/14/2022,27.51,471.22,06/08/2037,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000077,AbbVie,03/31/2022,00074204202,(risankizumab-rzaa) SKYRIZI 75MG/0.83ML PFS x2 US/PR,01/14/2022,1259.02,18272.79,02/04/2034,Single Source Drug,,1,"AbbVie's pricing decisions regarding the WAC price of a medication are determined after careful consideration of a number of interdependent factors, including a) the clinical and economic value of the particular therapy  b) the therapeutic category, its market dynamics, and competitor pricing; c) discounts provided to customers in both the commercial and government channels; d) patient support provided by AbbVie to ensure patient access to life-saving and life-changing medications; e) overall research and development costs.",,NA,,,,,,,,,,,,
Rx0000018,ACADIA Pharmaceuticals Inc.,03/31/2022,63090010030,Nuplazid Oral Tablet 10mg - 30 each,02/05/2022,193.00,4173.00,04/29/2030,Single Source Drug,,1,"ACADIA prices our medicines to reflect their value to patients, payers and society. Our goals are to reduce the burden of disease and deliver better health outcomes with our therapies.",,"The change in price of the product is not necessarily related to changes in the product but is determined after careful consideration of a number of interdependent factors, including but not limited to, clinical and economic value of therapy, therapeutic category, market dynamics, competitor pricing, discounts provided to customers, commercial and government rebates, patient support, and overall research and development costs.",,,,,,,,,,,,
Rx0000018,ACADIA Pharmaceuticals Inc.,03/31/2022,63090034030,Nuplazid Oral Tablet 34mg - 30 each,02/05/2022,193.00,4173.00,04/29/2030,Single Source Drug,,1,"ACADIA prices our medicines to reflect their value to patients, payers and society. Our goals are to reduce the burden of disease and deliver better health outcomes with our therapies.",,"The change in price of the product is not necessarily related to changes in the product but is determined after careful consideration of a number of interdependent factors, including but not limited to, clinical and economic value of therapy, therapeutic category, market dynamics, competitor pricing, discounts provided to customers, commercial and government rebates, patient support, and overall research and development costs.",,,,,,,,,,,,
Rx0000278,"Acella Pharamceuticals, LLC",03/31/2022,42192071401,"Ciclopirox Treatment External Kit 8%, solution, 34.6 ML, unit of size 1 box",01/17/2022,46.91,362.91,,Non-innovator Multiple Source Drug,,1,,1,,1,,,,,,,,,,,Drug not acquired within the past five years
Rx0000278,"Acella Pharamceuticals, LLC",03/31/2022,42192060840,Gabapentin 300mg/6ml US 40,01/17/2022,12.38,137.38,,Non-innovator Multiple Source Drug,,1,,1,,1,,,,,,,,,,,columns were left blank because this product was not acquired from another manufacturer in the last five years.
Rx0000203,"Aegerion Pharmaceuticals, Inc.",03/31/2022,76431011001,"JUXTAPID 10 MG CAPS, bottle of 28 capsules",01/01/2022,1395.06,47897.18,08/19/2027,Single Source Drug,,1,,1,,1,,,,,,,,,,,
Rx0000203,"Aegerion Pharmaceuticals, Inc.",03/31/2022,76431012001,"JUXTAPID 20 MG CAPS, bottle of 28 capsules",01/01/2022,1395.06,47897.18,08/19/2027,Single Source Drug,,1,,1,,1,,,,,,,,,,,
Rx0000203,"Aegerion Pharmaceuticals, Inc.",03/31/2022,76431013001,"JUXTAPID 30 MG CAPS, bottle of 28 capsules",01/01/2022,1395.06,47897.18,08/19/2027,Single Source Drug,,1,,1,,1,,,,,,,,,,,
Rx0000203,"Aegerion Pharmaceuticals, Inc.",03/31/2022,76431010501,JUXTAPID 5 MG CAPS - bottle of 28,01/01/2022,1395.06,47897.18,08/19/2027,Single Source Drug,,1,,1,,1,,,,,,,,,,,
Rx0000203,"Aegerion Pharmaceuticals, Inc.",03/31/2022,76431021001,MYALEPT 11.3MG VIAL,01/01/2022,238.37,5535.42,12/31/2027,Single Source Drug,,1,,1,,1,,,,,,,,,,,
Rx0000417,"Akebia Therapeutics, Inc.",03/31/2022,59922063101,AURYXIA (ferric citrate) 210 mg Tablets:  Bottle of 200,01/19/2022,84.00,1364.00,07/21/2030,Single Source Drug,,1,,1,,1,,,,,,,,,,,"Auryxia was developed by Keryx Biopharmaceuticals.  In December 2018, Keryx Biopharmaceuticals and Akebia Therapeutics merged.  Keryx Biopharmaceuticals is now a wholly owned subsidiary of Akebia Therapeutics.  Auryxia is not an acquired product based on this history."
Rx0000417,"Akebia Therapeutics, Inc.",06/30/2022,59922063101,AURYXIA (ferric citrate) 210 mg Tablets:  Bottle of 200,04/15/2022,30.00,1394.00,07/21/2030,Single Source Drug,,1,,1,,1,,,,,,,,,,,"Auryxia was developed by Keryx Biopharmaceuticals.  In December 2018, Keryx Biopharmaceuticals and Akebia Therapeutics merged.  Keryx Biopharmaceuticals is now a wholly owned subsidiary of Akebia Therapeutics.  Auryxia is not an acquired product based on this history."
Rx0000208,Almatica,03/31/2022,52427065830,"Loreev XR 1 mg extended-release capsules, 30 count",03/14/2022,140.00,425.00,01/08/2034,Single Source Drug,893,,"Almatica considers various factors in deciding the wholesale acquisition cost (WAC) at which to set its prescription drugs, including Loreev.  These factors include, but are not limited to: market based factors such as the competitive landscape and pricing environment; manufacturing and supply considerations; profitability; inflation and costs, including increased cost of administrative and commercial activities; therapeutic class and patient population, as well as patient needs and access; and contracts and relationships with customers",,"Almatica considers various factors in deciding the wholesale acquisition cost (WAC) at which to set its prescription drugs, including Loreev.  These factors include, but are not limited to: market based factors such as the competitive landscape and pricing environment; manufacturing and supply considerations; profitability; inflation and costs, including increased cost of administrative and commercial activities; therapeutic class and patient population, as well as patient needs and access; and contracts and relationships with customers.",,,,,,,,,,,,
Rx0000208,Almatica,03/31/2022,52427066330,"Loreev XR 2 mg extended-release capsules, 30 coun",03/14/2022,140.00,425.00,01/08/2034,Single Source Drug,1209,,"Almatica considers various factors in deciding the wholesale acquisition cost (WAC) at which to set its prescription drugs, including Loreev.  These factors include, but are not limited to: market based factors such as the competitive landscape and pricing environment; manufacturing and supply considerations; profitability; inflation and costs, including increased cost of administrative and commercial activities; therapeutic class and patient population, as well as patient needs and access; and contracts and relationships with customers",,"Almatica considers various factors in deciding the wholesale acquisition cost (WAC) at which to set its prescription drugs, including Loreev.  These factors include, but are not limited to: market based factors such as the competitive landscape and pricing environment; manufacturing and supply considerations; profitability; inflation and costs, including increased cost of administrative and commercial activities; therapeutic class and patient population, as well as patient needs and access; and contracts and relationships with customers.",,,,,,,,,,,,
Rx0000208,Almatica,03/31/2022,52427066730,"Loreev XR 3 mg extended-release capsules, 30 coun",03/14/2022,140.00,425.00,01/08/2034,Single Source Drug,730,,"Almatica considers various factors in deciding the wholesale acquisition cost (WAC) at which to set its prescription drugs, including Loreev.  These factors include, but are not limited to: market based factors such as the competitive landscape and pricing environment; manufacturing and supply considerations; profitability; inflation and costs, including increased cost of administrative and commercial activities; therapeutic class and patient population, as well as patient needs and access; and contracts and relationships with customers",,"Almatica considers various factors in deciding the wholesale acquisition cost (WAC) at which to set its prescription drugs, including Loreev.  These factors include, but are not limited to: market based factors such as the competitive landscape and pricing environment; manufacturing and supply considerations; profitability; inflation and costs, including increased cost of administrative and commercial activities; therapeutic class and patient population, as well as patient needs and access; and contracts and relationships with customers.",,,,,,,,,,,,
Rx0000231,American Health Packaging,03/31/2022,68001031356,AZACITIDINE POWDER 100MG  SINGLE DOSE VIAL,01/01/2022,27.39,311.28,,Non-innovator Multiple Source Drug,26154,,Market Conditions,,No Change Improvement in the drug product,,,,,,,,,,,"https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=589, https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=601","The acquisition fields do not need to be filled out because the drug was not acquired within the previous 5 years. All the fields that are left blank are due to ""Not Applicable""."
Rx0000231,American Health Packaging,03/31/2022,68001050454,AZACITIDINE POWDER INJ 100MG SINGLE DOSE VIAL,01/01/2022,27.39,311.28,,Non-innovator Multiple Source Drug,5184,,Market Conditions,,No Change Improvement in the drug product,,,,,,,,,,,"https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=590, https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=602","The acquisition fields do not need to be filled out because the drug was not acquired within the previous 5 years. All the fields that are left blank are due to ""Not Applicable""."
Rx0000231,American Health Packaging,03/31/2022,60687042321,CLOBAZAM TABS 10MG 30UD C4,02/01/2022,13.00,78.00,,Non-innovator Multiple Source Drug,3174,,Market Conditions,,No Change Improvement in the drug product,,,,,,,,,,,"https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=600, https://reports.siera.oshpd.ca.gov/api/report/drug-pricing/attachment?id=612","The acquisition fields do not need to be filled out because the drug was not acquired within the previous 5 years. All the fields that are left blank are due to ""Not Applicable""."
