Manufacturer Name,NDC Number,Effective Date,History Effective Date,WAC Increase Amount,WAC Amount
AbbVie,00074228203,01/01/2021,04/01/2016,$147.60,"$2,286.70"
AbbVie,00074228203,01/01/2021,04/03/2017,$157.78,"$2,444.48"
AbbVie,00074228203,01/01/2021,01/01/2018,$229.78,"$2,674.26"
AbbVie,00074228203,01/01/2021,01/01/2019,$165.80,"$2,840.06"
AbbVie,00074228203,01/01/2021,01/01/2020,$210.16,"$3,050.22"
AbbVie,00074228203,01/01/2021,01/01/2021,$189.11,"$3,239.33"
AbbVie,00074244003,01/01/2021,04/01/2016,$162.56,"$2,518.56"
AbbVie,00074244003,01/01/2021,04/03/2017,$173.78,"$2,692.34"
AbbVie,00074244003,01/01/2021,01/01/2018,$253.08,"$2,945.42"
AbbVie,00074244003,01/01/2021,01/01/2019,$182.62,"$3,128.04"
AbbVie,00074244003,01/01/2021,01/01/2020,$231.47,"$3,359.51"
AbbVie,00074244003,01/01/2021,01/01/2021,$208.29,"$3,567.80"
AbbVie,00074254003,01/01/2021,01/01/2019,$906.20,"$15,522.32"
AbbVie,00074254003,01/01/2021,01/01/2020,"$1,148.65","$16,670.97"
AbbVie,00074254003,01/01/2021,01/01/2021,"$1,233.65","$17,904.62"
AbbVie,00074334603,01/01/2021,04/01/2016,$241.60,"$3,742.99"
AbbVie,00074334603,01/01/2021,04/03/2017,$258.27,"$4,001.26"
AbbVie,00074334603,01/01/2021,01/01/2018,$376.12,"$4,377.38"
AbbVie,00074334603,01/01/2021,01/01/2019,$271.40,"$4,648.78"
AbbVie,00074334603,01/01/2021,01/01/2020,$344.01,"$4,992.79"
AbbVie,00074334603,01/01/2021,01/01/2021,$309.55,"$5,302.34"
AbbVie,00074347303,01/01/2021,04/01/2016,$483.20,"$7,486.11"
AbbVie,00074347303,01/01/2021,04/03/2017,$516.54,"$8,002.65"
AbbVie,00074347303,01/01/2021,01/01/2018,$752.25,"$8,754.90"
AbbVie,00074347303,01/01/2021,01/01/2019,$542.80,"$9,297.70"
AbbVie,00074347303,01/01/2021,01/01/2020,$688.03,"$9,985.73"
AbbVie,00074347303,01/01/2021,01/01/2021,$619.12,"$10,604.85"
AbbVie,00074364103,01/01/2021,04/01/2016,$67.58,"$1,047.00"
AbbVie,00074364103,01/01/2021,04/03/2017,$72.24,"$1,119.24"
AbbVie,00074364103,01/01/2021,01/01/2018,$105.21,"$1,224.45"
AbbVie,00074364103,01/01/2021,01/01/2019,$75.92,"$1,300.37"
AbbVie,00074364103,01/01/2021,01/01/2020,$96.23,"$1,396.60"
AbbVie,00074364103,01/01/2021,01/01/2021,$86.59,"$1,483.19"
AbbVie,00074364203,01/01/2021,04/01/2016,$80.53,"$1,247.67"
AbbVie,00074364203,01/01/2021,04/03/2017,$86.09,"$1,333.76"
AbbVie,00074364203,01/01/2021,01/01/2018,$125.37,"$1,459.13"
AbbVie,00074364203,01/01/2021,01/01/2019,$90.47,"$1,549.60"
AbbVie,00074364203,01/01/2021,01/01/2020,$114.67,"$1,664.27"
AbbVie,00074364203,01/01/2021,01/01/2021,$103.18,"$1,767.45"
AbbVie,00074366303,01/01/2021,04/01/2016,$202.74,"$3,141.04"
AbbVie,00074366303,01/01/2021,04/03/2017,$216.73,"$3,357.77"
AbbVie,00074366303,01/01/2021,01/01/2018,$315.63,"$3,673.40"
AbbVie,00074366303,01/01/2021,01/01/2019,$227.75,"$3,901.15"
AbbVie,00074366303,01/01/2021,01/01/2020,$288.69,"$4,189.84"
AbbVie,00074366303,01/01/2021,01/01/2021,$259.77,"$4,449.61"
AbbVie,00074368303,01/01/2021,04/01/2016,$322.13,"$4,990.67"
AbbVie,00074368303,01/01/2021,04/03/2017,$344.36,"$5,335.03"
AbbVie,00074368303,01/01/2021,01/01/2018,$501.49,"$5,836.52"
AbbVie,00074368303,01/01/2021,01/01/2019,$361.86,"$6,198.38"
AbbVie,00074368303,01/01/2021,01/01/2020,$458.68,"$6,657.06"
AbbVie,00074368303,01/01/2021,01/01/2021,$412.74,"$7,069.80"
AbbVie,00074377903,01/01/2021,04/01/2016,$442.79,"$6,860.10"
AbbVie,00074377903,01/01/2021,04/03/2017,$473.35,"$7,333.45"
AbbVie,00074377903,01/01/2021,01/01/2018,$689.34,"$8,022.79"
AbbVie,00074377903,01/01/2021,01/01/2019,$497.41,"$8,520.20"
AbbVie,00074377903,01/01/2021,01/01/2020,$630.49,"$9,150.69"
AbbVie,00074377903,01/01/2021,01/01/2021,$567.34,"$9,718.03"
AbbVie,00074379902,01/01/2021,01/21/2016,$342.04,"$3,797.10"
AbbVie,00074379902,01/01/2021,06/23/2016,$299.97,"$4,097.07"
AbbVie,00074379902,01/01/2021,01/18/2017,$344.16,"$4,441.23"
AbbVie,00074379902,01/01/2021,01/01/2018,$430.80,"$4,872.03"
AbbVie,00074379902,01/01/2021,01/01/2019,$302.06,"$5,174.09"
AbbVie,00074379902,01/01/2021,01/01/2020,$382.88,"$5,556.97"
AbbVie,00074379902,01/01/2021,01/01/2021,$411.21,"$5,968.18"
AbbVie,00074433902,01/01/2021,01/21/2016,$342.04,"$3,797.10"
AbbVie,00074433902,01/01/2021,06/23/2016,$299.97,"$4,097.07"
AbbVie,00074433902,01/01/2021,01/18/2017,$344.16,"$4,441.23"
AbbVie,00074433902,01/01/2021,01/01/2018,$430.80,"$4,872.03"
AbbVie,00074433902,01/01/2021,01/01/2019,$302.06,"$5,174.09"
AbbVie,00074433902,01/01/2021,01/01/2020,$382.88,"$5,556.97"
AbbVie,00074433902,01/01/2021,01/01/2021,$411.21,"$5,968.18"
AbbVie,00074433906,01/01/2021,01/21/2016,"$1,026.16","$11,391.34"
AbbVie,00074433906,01/01/2021,06/23/2016,$899.91,"$12,291.25"
AbbVie,00074433906,01/01/2021,01/18/2017,"$1,032.47","$13,323.72"
AbbVie,00074433906,01/01/2021,01/01/2018,"$1,292.40","$14,616.12"
AbbVie,00074433906,01/01/2021,01/01/2019,$906.20,"$15,522.32"
AbbVie,00074433906,01/01/2021,01/01/2020,"$1,148.65","$16,670.97"
AbbVie,00074433906,01/01/2021,01/01/2021,"$1,233.65","$17,904.62"
AbbVie,00074433907,01/01/2021,01/21/2016,$684.11,"$7,594.21"
AbbVie,00074433907,01/01/2021,06/23/2016,$599.94,"$8,194.15"
AbbVie,00074433907,01/01/2021,01/18/2017,$688.31,"$8,882.46"
AbbVie,00074433907,01/01/2021,01/01/2018,$861.60,"$9,744.06"
AbbVie,00074433907,01/01/2021,01/01/2019,$604.14,"$10,348.20"
AbbVie,00074433907,01/01/2021,01/01/2020,$765.76,"$11,113.96"
AbbVie,00074433907,01/01/2021,01/01/2021,$822.44,"$11,936.40"
AbbVie,00074634702,01/01/2021,01/21/2016,$342.04,"$3,797.10"
AbbVie,00074634702,01/01/2021,06/23/2016,$299.97,"$4,097.07"
AbbVie,00074634702,01/01/2021,01/18/2017,$344.16,"$4,441.23"
AbbVie,00074634702,01/01/2021,01/01/2018,$430.80,"$4,872.03"
AbbVie,00074634702,01/01/2021,01/01/2019,$302.06,"$5,174.09"
AbbVie,00074634702,01/01/2021,01/01/2020,$382.88,"$5,556.97"
AbbVie,00074634702,01/01/2021,01/01/2021,$411.21,"$5,968.18"
AbbVie,00074937402,01/01/2021,01/21/2016,$342.04,"$3,797.10"
AbbVie,00074937402,01/01/2021,06/23/2016,$299.97,"$4,097.07"
AbbVie,00074937402,01/01/2021,01/18/2017,$344.16,"$4,441.23"
AbbVie,00074937402,01/01/2021,01/01/2018,$430.80,"$4,872.03"
AbbVie,00074937402,01/01/2021,01/01/2019,$302.06,"$5,174.09"
AbbVie,00074937402,01/01/2021,01/01/2020,$382.88,"$5,556.97"
AbbVie,00074937402,01/01/2021,01/01/2021,$411.21,"$5,968.18"
AbbVie,00074969403,01/01/2021,04/01/2016,$487.69,"$7,555.70"
AbbVie,00074969403,01/01/2021,04/03/2017,$521.34,"$8,077.04"
AbbVie,00074969403,01/01/2021,01/01/2018,$759.24,"$8,836.28"
AbbVie,00074969403,01/01/2021,01/01/2019,$547.85,"$9,384.13"
AbbVie,00074969403,01/01/2021,01/01/2020,$694.43,"$10,078.56"
AbbVie,00074969403,01/01/2021,01/01/2021,$624.87,"$10,703.43"
ACADIA Pharmaceuticals Inc.,63090010030,07/10/2021,12/27/2018,$261.00,"$3,039.00"
ACADIA Pharmaceuticals Inc.,63090010030,07/10/2021,07/02/2019,$147.00,"$3,186.00"
ACADIA Pharmaceuticals Inc.,63090010030,07/10/2021,12/30/2019,$155.00,"$3,341.00"
ACADIA Pharmaceuticals Inc.,63090010030,07/10/2021,06/29/2020,$297.00,"$3,638.00"
ACADIA Pharmaceuticals Inc.,63090010030,07/10/2021,07/10/2021,$342.00,"$3,980.00"
ACADIA Pharmaceuticals Inc.,63090034030,07/10/2021,12/27/2018,$261.00,"$3,039.00"
ACADIA Pharmaceuticals Inc.,63090034030,07/10/2021,07/02/2019,$147.00,"$3,186.00"
ACADIA Pharmaceuticals Inc.,63090034030,07/10/2021,12/30/2019,$155.00,"$3,341.00"
ACADIA Pharmaceuticals Inc.,63090034030,07/10/2021,06/29/2020,$297.00,"$3,638.00"
ACADIA Pharmaceuticals Inc.,63090034030,07/10/2021,07/10/2021,$342.00,"$3,980.00"
"Acella Pharamceuticals, LLC",42192060840,07/01/2021,10/05/2020,$5.01,$85.00
"Acella Pharamceuticals, LLC",42192060840,07/01/2021,07/01/2021,$40.00,$125.00
"Acorda Therapeutics, Inc.",10144042760,01/01/2021,01/01/2014,$155.45,"$1,601.49"
"Acorda Therapeutics, Inc.",10144042760,01/01/2021,01/01/2015,$175.36,"$1,776.85"
"Acorda Therapeutics, Inc.",10144042760,01/01/2021,01/01/2016,$194.57,"$1,971.42"
"Acorda Therapeutics, Inc.",10144042760,01/01/2021,01/01/2017,$187.28,"$2,158.70"
"Acorda Therapeutics, Inc.",10144042760,01/01/2021,07/01/2017,$86.35,"$2,245.05"
"Acorda Therapeutics, Inc.",10144042760,01/01/2021,01/01/2018,$213.28,"$2,458.33"
"Acorda Therapeutics, Inc.",10144042760,01/01/2021,07/01/2018,$233.54,"$2,691.87"
"Acorda Therapeutics, Inc.",10144042760,01/01/2021,10/01/2019,$242.27,"$2,934.14"
"Acorda Therapeutics, Inc.",10144042760,01/01/2021,01/01/2021,$278.75,"$3,212.89"
"Actelion Pharmaceuticals US, Inc",66215050115,01/15/2021,12/19/2016,$373.50,"$4,146.00"
"Actelion Pharmaceuticals US, Inc",66215050115,01/15/2021,11/21/2017,$369.00,"$4,515.00"
"Actelion Pharmaceuticals US, Inc",66215050115,01/15/2021,01/11/2019,$311.55,"$4,826.55"
"Actelion Pharmaceuticals US, Inc",66215050115,01/15/2021,01/20/2020,$217.20,"$5,043.75"
"Actelion Pharmaceuticals US, Inc",66215050115,01/15/2021,01/15/2021,$242.10,"$5,285.85"
"Actelion Pharmaceuticals US, Inc",66215050130,01/15/2021,12/19/2016,$747.00,"$8,292.00"
"Actelion Pharmaceuticals US, Inc",66215050130,01/15/2021,11/21/2017,$738.00,"$9,030.00"
"Actelion Pharmaceuticals US, Inc",66215050130,01/15/2021,01/11/2019,$623.10,"$9,653.10"
"Actelion Pharmaceuticals US, Inc",66215050130,01/15/2021,01/20/2020,$434.39,"$10,087.49"
"Actelion Pharmaceuticals US, Inc",66215050130,01/15/2021,01/15/2021,$484.21,"$10,571.70"
"Actelion Pharmaceuticals US, Inc",66215060206,01/15/2021,04/06/2017,$374.00,"$9,714.00"
"Actelion Pharmaceuticals US, Inc",66215060206,01/15/2021,01/03/2018,$861.00,"$10,575.00"
"Actelion Pharmaceuticals US, Inc",66215060206,01/15/2021,01/11/2019,$676.80,"$11,251.80"
"Actelion Pharmaceuticals US, Inc",66215060206,01/15/2021,01/20/2020,$551.34,"$11,803.14"
"Actelion Pharmaceuticals US, Inc",66215060206,01/15/2021,01/15/2021,$566.55,"$12,369.69"
"Actelion Pharmaceuticals US, Inc",66215060214,01/15/2021,04/06/2017,$872.00,"$22,652.00"
"Actelion Pharmaceuticals US, Inc",66215060214,01/15/2021,01/03/2018,"$2,023.00","$24,675.00"
"Actelion Pharmaceuticals US, Inc",66215060214,01/15/2021,01/11/2019,"$1,579.20","$26,254.20"
"Actelion Pharmaceuticals US, Inc",66215060214,01/15/2021,01/20/2020,"$1,286.46","$27,540.66"
"Actelion Pharmaceuticals US, Inc",66215060214,01/15/2021,01/15/2021,"$1,321.95","$28,862.61"
"Actelion Pharmaceuticals US, Inc",66215060406,01/15/2021,04/06/2017,$581.00,"$15,101.00"
"Actelion Pharmaceuticals US, Inc",66215060406,01/15/2021,01/03/2018,"$1,345.00","$16,446.00"
"Actelion Pharmaceuticals US, Inc",66215060406,01/15/2021,01/11/2019,"$1,052.40","$17,498.40"
"Actelion Pharmaceuticals US, Inc",66215060406,01/15/2021,01/20/2020,$857.42,"$18,355.82"
"Actelion Pharmaceuticals US, Inc",66215060406,01/15/2021,01/15/2021,$881.08,"$19,236.90"
"Actelion Pharmaceuticals US, Inc",66215060606,01/15/2021,04/06/2017,$581.00,"$15,101.00"
"Actelion Pharmaceuticals US, Inc",66215060606,01/15/2021,01/03/2018,"$1,345.00","$16,446.00"
"Actelion Pharmaceuticals US, Inc",66215060606,01/15/2021,01/11/2019,"$1,052.40","$17,498.40"
"Actelion Pharmaceuticals US, Inc",66215060606,01/15/2021,01/20/2020,$857.42,"$18,355.82"
"Actelion Pharmaceuticals US, Inc",66215060606,01/15/2021,01/15/2021,$881.08,"$19,236.90"
"Actelion Pharmaceuticals US, Inc",66215060806,01/15/2021,04/06/2017,$581.00,"$15,101.00"
"Actelion Pharmaceuticals US, Inc",66215060806,01/15/2021,01/03/2018,"$1,345.00","$16,446.00"
"Actelion Pharmaceuticals US, Inc",66215060806,01/15/2021,01/11/2019,"$1,052.40","$17,498.40"
"Actelion Pharmaceuticals US, Inc",66215060806,01/15/2021,01/20/2020,$857.42,"$18,355.82"
"Actelion Pharmaceuticals US, Inc",66215060806,01/15/2021,01/15/2021,$881.08,"$19,236.90"
"Actelion Pharmaceuticals US, Inc",66215061006,01/15/2021,04/06/2017,$581.00,"$15,101.00"
"Actelion Pharmaceuticals US, Inc",66215061006,01/15/2021,01/03/2018,"$1,345.00","$16,446.00"
"Actelion Pharmaceuticals US, Inc",66215061006,01/15/2021,01/11/2019,"$1,052.40","$17,498.40"
"Actelion Pharmaceuticals US, Inc",66215061006,01/15/2021,01/20/2020,$857.42,"$18,355.82"
"Actelion Pharmaceuticals US, Inc",66215061006,01/15/2021,01/15/2021,$881.08,"$19,236.90"
"Actelion Pharmaceuticals US, Inc",66215061206,01/15/2021,04/06/2017,$581.00,"$15,101.00"
"Actelion Pharmaceuticals US, Inc",66215061206,01/15/2021,01/03/2018,"$1,345.00","$16,446.00"
"Actelion Pharmaceuticals US, Inc",66215061206,01/15/2021,01/11/2019,"$1,052.40","$17,498.40"
"Actelion Pharmaceuticals US, Inc",66215061206,01/15/2021,01/20/2020,$857.42,"$18,355.82"
"Actelion Pharmaceuticals US, Inc",66215061206,01/15/2021,01/15/2021,$881.08,"$19,236.90"
"Actelion Pharmaceuticals US, Inc",66215061406,01/15/2021,04/06/2017,$581.00,"$15,101.00"
"Actelion Pharmaceuticals US, Inc",66215061406,01/15/2021,01/03/2018,"$1,345.00","$16,446.00"
"Actelion Pharmaceuticals US, Inc",66215061406,01/15/2021,01/11/2019,"$1,052.40","$17,498.40"
"Actelion Pharmaceuticals US, Inc",66215061406,01/15/2021,01/20/2020,$857.42,"$18,355.82"
"Actelion Pharmaceuticals US, Inc",66215061406,01/15/2021,01/15/2021,$881.08,"$19,236.90"
"Actelion Pharmaceuticals US, Inc",66215061606,01/15/2021,04/06/2017,$581.00,"$15,101.00"
"Actelion Pharmaceuticals US, Inc",66215061606,01/15/2021,01/03/2018,"$1,345.00","$16,446.00"
"Actelion Pharmaceuticals US, Inc",66215061606,01/15/2021,01/11/2019,"$1,052.40","$17,498.40"
"Actelion Pharmaceuticals US, Inc",66215061606,01/15/2021,01/20/2020,$857.42,"$18,355.82"
"Actelion Pharmaceuticals US, Inc",66215061606,01/15/2021,01/15/2021,$881.08,"$19,236.90"
"Actelion Pharmaceuticals US, Inc",66215062820,01/15/2021,04/06/2017,$872.00,"$22,652.00"
"Actelion Pharmaceuticals US, Inc",66215062820,01/15/2021,01/03/2018,"$2,023.00","$24,675.00"
"Actelion Pharmaceuticals US, Inc",66215062820,01/15/2021,01/11/2019,"$1,579.00","$26,254.00"
"Actelion Pharmaceuticals US, Inc",66215062820,01/15/2021,01/20/2020,"$1,286.44","$27,540.44"
"Actelion Pharmaceuticals US, Inc",66215062820,01/15/2021,01/15/2021,"$1,321.94","$28,862.38"
"Aegerion Pharmaceuticals, Inc.",76431010501,02/01/2021,07/01/2017,"$1,252.00","$33,646.00"
"Aegerion Pharmaceuticals, Inc.",76431010501,02/01/2021,01/01/2018,"$3,346.00","$36,992.00"
"Aegerion Pharmaceuticals, Inc.",76431010501,02/01/2021,01/01/2019,"$3,678.85","$40,670.85"
"Aegerion Pharmaceuticals, Inc.",76431010501,02/01/2021,01/01/2020,"$4,042.68","$44,713.53"
"Aegerion Pharmaceuticals, Inc.",76431010501,02/01/2021,02/01/2021,"$1,788.59","$46,502.12"
"Aegerion Pharmaceuticals, Inc.",76431011001,02/01/2021,07/01/2017,"$1,252.00","$33,646.00"
"Aegerion Pharmaceuticals, Inc.",76431011001,02/01/2021,01/01/2018,"$3,346.00","$36,992.00"
"Aegerion Pharmaceuticals, Inc.",76431011001,02/01/2021,01/01/2019,"$3,678.85","$40,670.85"
"Aegerion Pharmaceuticals, Inc.",76431011001,02/01/2021,01/01/2020,"$4,042.68","$44,713.53"
"Aegerion Pharmaceuticals, Inc.",76431011001,02/01/2021,02/01/2021,"$1,788.59","$46,502.12"
"Aegerion Pharmaceuticals, Inc.",76431012001,02/01/2021,07/01/2017,"$1,252.00","$33,646.00"
"Aegerion Pharmaceuticals, Inc.",76431012001,02/01/2021,01/01/2018,"$3,346.00","$36,992.00"
"Aegerion Pharmaceuticals, Inc.",76431012001,02/01/2021,01/01/2019,"$3,678.85","$40,670.85"
"Aegerion Pharmaceuticals, Inc.",76431012001,02/01/2021,01/01/2020,"$4,042.68","$44,713.53"
"Aegerion Pharmaceuticals, Inc.",76431012001,02/01/2021,02/01/2021,"$1,788.59","$46,502.12"
"Aegerion Pharmaceuticals, Inc.",76431013001,02/01/2021,07/01/2017,"$1,252.00","$33,646.00"
"Aegerion Pharmaceuticals, Inc.",76431013001,02/01/2021,01/01/2018,"$3,346.00","$36,992.00"
"Aegerion Pharmaceuticals, Inc.",76431013001,02/01/2021,01/01/2019,"$3,678.85","$40,670.85"
"Aegerion Pharmaceuticals, Inc.",76431013001,02/01/2021,01/01/2020,"$4,042.68","$44,713.53"
"Aegerion Pharmaceuticals, Inc.",76431013001,02/01/2021,02/01/2021,"$1,788.59","$46,502.12"
"Aegerion Pharmaceuticals, Inc.",76431021001,02/01/2021,03/01/2017,$192.60,"$3,832.60"
"Aegerion Pharmaceuticals, Inc.",76431021001,02/01/2021,01/01/2018,$381.16,"$4,213.76"
"Aegerion Pharmaceuticals, Inc.",76431021001,02/01/2021,01/01/2019,$419.06,"$4,632.82"
"Aegerion Pharmaceuticals, Inc.",76431021001,02/01/2021,01/01/2020,$460.50,"$5,093.32"
"Aegerion Pharmaceuticals, Inc.",76431021001,02/01/2021,02/01/2021,$203.73,"$5,297.05"
Allergan,00023320503,01/01/2021,01/01/2016,$13.51,$150.02
Allergan,00023320503,01/01/2021,01/01/2017,$14.25,$164.27
Allergan,00023320503,01/01/2021,01/01/2018,$15.61,$179.88
Allergan,00023320503,01/01/2021,01/01/2019,$17.09,$196.97
Allergan,00023320503,01/01/2021,01/03/2020,$9.85,$206.82
Allergan,00023320503,01/01/2021,01/01/2021,$10.34,$217.16
Allergan,00023320505,01/01/2021,01/01/2016,$27.02,$299.93
Allergan,00023320505,01/01/2021,01/01/2017,$28.49,$328.42
Allergan,00023320505,01/01/2021,01/01/2018,$31.20,$359.62
Allergan,00023320505,01/01/2021,01/01/2019,$34.16,$393.78
Allergan,00023320505,01/01/2021,01/03/2020,$19.69,$413.47
Allergan,00023320505,01/01/2021,01/01/2021,$20.67,$434.14
Allergan,00023320508,01/01/2021,01/01/2016,$40.52,$449.86
Allergan,00023320508,01/01/2021,01/01/2017,$42.74,$492.60
Allergan,00023320508,01/01/2021,01/01/2018,$46.80,$539.40
Allergan,00023320508,01/01/2021,01/01/2019,$51.24,$590.64
Allergan,00023320508,01/01/2021,01/03/2020,$29.53,$620.17
Allergan,00023320508,01/01/2021,01/01/2021,$31.01,$651.18
Allergan,00023530105,01/01/2021,01/01/2018,$44.19,$509.33
Allergan,00023530105,01/01/2021,01/01/2019,$48.39,$557.72
Allergan,00023530105,01/01/2021,01/03/2020,$27.89,$585.61
Allergan,00023530105,01/01/2021,01/01/2021,$29.28,$614.89
Allergan,00023585801,01/01/2021,01/01/2017,$59.38,$684.38
Allergan,00023585801,01/01/2021,01/01/2019,$65.02,$749.40
Allergan,00023585801,01/01/2021,01/03/2020,$37.47,$786.87
Allergan,00023585801,01/01/2021,01/01/2021,$58.23,$845.10
Allergan,00023586230,01/01/2021,01/01/2018,$74.06,$853.64
Allergan,00023586230,01/01/2021,01/01/2019,$81.10,$934.74
